age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,age_group
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,30-39
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,50-59
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,20-29
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,30-39
52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,50-59
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,20-29
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,30-39
40,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,,>50K,30-39
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,20-29
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,30-39
38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,30-39
43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,40-49
35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,30-39
59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,50-59
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,50-59
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,10-19
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,20-29
20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,10-19
30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,20-29
48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,40-49
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,20-29
31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,,>50K,30-39
48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,40-49
53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,50-59
24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,20-29
49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,40-49
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,20-29
57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,50-59
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,50-59
44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,40-49
41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
